BNS Sections,IPC Sections,IPC Description
115,321,321.Voluntarily causing hurt.
115(2),323,323.Punishment for voluntarily causing hurt.
116,320,320.Grievous hurt.
117,322,322.Voluntarily causing grievous hurt.
117(2),325,325.Punishment   for   voluntarily   causing   grievous hurt.
118,324,324.Voluntarily causing hurt by dangerous weapons or means.
118(2),326,326. Voluntarily  causing grievous hurt  by  dangerous weapons or means.
119,327,"327.Voluntarily causing hurt to extort property, or to constrain to an illegal to an act."
119(2),329,"329.Voluntarily   causing   grievous   hurt   to   extort property, or to constrain to an illegal act."
120(1),330,"330.Voluntarily causing hurt to extort confession, or
to compel restoration of property."
120(2),331,331.Voluntarily   causing   grievous   hurt   to   extort
,"confession,","confession, or to compel restoration of property."
121,332,332.Voluntarily causing hurt to deter public servant from his duty.
121(2),333,333.Voluntarily causing grievous hurt to deter public servant from his duty.
122,334,334.Voluntarily causing hurt on provocation.
122(2),335,335.Voluntarily      causing      grievous      hurt      on provocation.
123,328,"328. Causing  hurt  by  means  of  poison,  etc.,  with
intent to commit and offence."
124,326A,"326A. Voluntarily  causing  grievous  hurt  by  use  of acid, etc."
124(2),326B,"326B. Voluntarily  throwing  or  attempting  to  throw
acid."
125,336,336.Act   endangering   life   or   personal   safety   of others.
125(a),337,"337.Causing hurt by act endangering life or personal
safety of others."
125(b),338,338.Causing grievous hurt by act endangering life or personal safety of others.
126,339,339.Wrongful restraint.
126(2),341,341.Punishment for wrongful restraint.
127,340,340.Wrongful confinement.
127(2),342,342.Punishment for wrongful confinement.
127(3),343,343.Wrongful confinement for three or more days.
127(4),344,344.Wrongful confinement for ten or more days.
127(5),345,"345.Wrongful   confinement   of   person   for   whose
liberation writ has been issued."
127(6),346,346.Wrongful confinement in secret.
127(7),347,"347. Wrongful  confinement  to  extort  property,  or
constrain to illegal act."
127(8),348,"348. Wrongful  confinement  to  extort  confession,  or compel restoration of property."
128,349,349.Force
129,350,350.Criminal force
130,351,351.Assault.
131,352,352. Punishment    for    assault    or    criminal    force otherwise than on grave provocation.
132,353,"353.Assault or criminal force to deter public servant
from discharge of his duty"
133,355,"355. Assault    or    criminal    force    with    intent    to dishonour     person,     otherwise     than     on     grave"
134,356,"356. Assault  or  criminal  force  in  attempt  to  commit
theft of property carried by a person."
135,357,357. Assault  or  criminal  force  in  attempt  wrongfully to confine a person.
136,358,358.Assault or criminal force on grave provocation.
137,359,359.Kidnapping.
137(1)(a),360,360.Kidnapping from India.
137(1)(b),361,361.Kidnapping from lawful guardianship.
